Date,Open,High,Low,Close,Volume,Company,company
2024-10-02,-1.0594944046514794,-1.060960990600073,-1.0573540914364743,-1.0580086613124728,1.4444742730669082,price_nio,nio
2024-10-01,-1.0613814791181035,-1.0626054135718632,-1.0594835542666632,-1.0590046808161186,1.6039743113378446,price_nio,nio
2024-11-19,1.0382663759522437,1.0310191000125442,1.0497600207487312,1.0494026051517569,-0.4242229480645341,price_panw,panw
2024-11-18,1.0815580843042094,1.0548632331035042,1.0648824553660647,1.0425964718768428,-0.4262540954890875,price_panw,panw
2024-11-15,1.0617993045948506,1.0500395923862524,1.0639863110924448,1.0435371569636196,-0.4266653859748944,price_panw,panw
2024-11-14,1.132120579571698,1.1084714219838696,1.1113699395600891,1.0844292910299729,-0.4235119531852975,price_panw,panw
2024-11-13,1.1164134597465614,1.1379065931789163,1.1297408971692944,1.128530821274741,-0.4300228158155841,price_panw,panw
2024-11-12,1.096876688797982,1.087367993845893,1.1110338854574822,1.1045156843534996,-0.4316122478348628,price_panw,panw
2024-11-11,1.0963216668960338,1.094932339516129,1.1095216419957483,1.1049583596884534,-0.431204646493279,price_panw,panw
2024-11-08,1.0593572082262783,1.0539313934194896,1.0567051388692843,1.067884300386076,-0.4287107148626023,price_panw,panw
2024-11-07,1.001579428233462,1.0210429339836826,1.0116178801027906,1.0435371569636196,-0.4280507508072587,price_panw,panw
2024-11-06,0.9983047990119672,1.0155067099786552,1.0103856817265633,1.0334662930934215,-0.422293918396424,price_panw,panw
2024-11-05,0.9233213400587548,0.9184309405439652,0.9330932381268596,0.9289395796274658,-0.4385933430955409,price_panw,panw
2024-11-04,0.9020084990239404,0.8931616408774536,0.8983676475240941,0.9003316861060792,-0.4360870815874035,price_panw,panw
2024-11-01,0.8930171442123783,0.9035215055997328,0.90452863940523,0.9087425174702004,-0.4165351362097451,price_panw,panw
2024-10-31,0.9243758816724564,0.9233093953602766,0.9106896312863656,0.8959602671734107,-0.4290795451219321,price_panw,panw
2024-10-30,0.922488807205832,0.9150872805013248,0.9134340731243262,0.8914228449901347,-0.436959669399913,price_panw,panw
2024-10-29,0.9082247443257612,0.9128399024398782,0.9083932615852152,0.9239594821092358,-0.4266506153708375,price_panw,panw
2024-10-28,0.9428026088171392,0.920733132704472,0.9287805438100646,0.9071378193809932,-0.4356485924299285,price_panw,panw
2024-10-25,0.941304049681879,0.9398632532762992,0.9529204301806968,0.929769595880504,-0.4386854594838051,price_panw,panw
2024-10-24,0.9023415121651096,0.907577748930149,0.9216113896211064,0.919477394342829,-0.4367539890890987,price_panw,panw
2024-10-23,0.9736618265654636,0.949455720611743,0.9072170722260892,0.8841187019633977,-0.4196933382352199,price_panw,panw
2024-10-22,0.980100080628064,0.9775205393302984,0.9841174527060844,0.9832226425761702,-0.4353673618119433,price_panw,panw
2024-10-21,0.9814876353829346,1.003447608185526,0.9937510036474966,0.99600489287296,-0.4269857102999136,price_panw,panw
